Is Duplicate Row?,Table Names,Item_Outlet_Sales,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type
Unique,Store_Train_Forecast_Class.csv,2217.114,FDZ33,10.195,Low Fat,0.107307677,Snack Foods,149.8076,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2217.114,FDW22,9.695,Regular,0.030413777,Snack Foods,221.3114,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,5736.5328,FDZ26,11.6,Regular,0.144017405,Dairy,238.3222,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,6543.4824,FDQ24,15.7,Low Fat,0.073605395,Baking Goods,249.6724,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,601.2174,NCB19,6.525,Low Fat,0.090295708,Household,84.6882,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,75.9012,FDL52,6.635,Regular,0.046277956,Frozen Foods,36.7506,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,2189.1504,FDR39,20.35,Low Fat,0.083799283,Meat,184.1292,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2189.1504,FDF52,9.3,Low Fat,0.066770664,Frozen Foods,180.5292,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2189.1504,DRD12,6.96,Low Fat,0.077178965,Soft Drinks,93.1146,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1178.466,FDT44,16.6,Low Fat,0.103406065,Fruits and Vegetables,116.4466,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,1218.414,DRI49,14.15,Low Fat,0.184254826,Soft Drinks,82.4276,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,2519.3872,FDB29,16.7,Regular,0.052493162,Frozen Foods,113.9176,OUT049,1999,Medium,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2519.3872,FDY10,17.6,Low Fat,0.049067877,Snack Foods,115.6176,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,3969.4996,FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,6311.784,DRF37,17.25,Low Fat,0.084316691,Soft Drinks,263.391,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,3487.4604,FDP19,11.5,Low Fat,0.173483253,Fruits and Vegetables,129.0652,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,5624.6784,FDA27,20.35,Regular,0,Dairy,256.7672,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,1707.777,FDJ38,8.6,Regular,0.040268044,Canned,191.453,OUT049,1999,Medium,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1707.777,FDF21,10.3,Regular,0,Fruits and Vegetables,191.153,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1707.777,FDR24,17.35,Regular,0.062839798,Baking Goods,90.883,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1707.777,FDV32,7.785,Low Fat,0.089069748,Fruits and Vegetables,62.751,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,1707.777,FDA51,8.05,Regular,0.164542555,Dairy,112.2518,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2732.4432,FDG46,8.63,Regular,0.032882271,Snack Foods,113.5518,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,4327.7,FDK22,9.8,Low Fat,0.026081567,Snack Foods,217.585,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1838.2738,DRN37,9.6,Low Fat,0.09627919,Soft Drinks,167.3158,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1838.2738,FDT33,7.81,Regular,0.03412912,Snack Foods,165.1158,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,8132.0812,FDG47,12.8,Low Fat,0.06961884,Starchy Foods,260.3252,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,3455.502,FDL28,10,Regular,0.063162608,Frozen Foods,228.6668,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,3455.502,FDQ55,13.65,Regular,0.013035609,Fruits and Vegetables,114.7834,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1330.2684,FDZ33,10.195,Low Fat,0.107834541,Snack Foods,146.5076,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,3068.0064,FDA27,20.35,Regular,0.030975716,Dairy,253.9672,OUT049,1999,Medium,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,3068.0064,FDB52,17.75,Low Fat,0.03048292,Dairy,257.2672,OUT049,1999,Medium,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,3068.0064,FDP33,18.7,Low Fat,0,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,366.19,DRK12,9.5,Low Fat,0.042056944,Soft Drinks,31.89,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,366.19,FDR43,18.2,Low Fat,0.161489509,Fruits and Vegetables,37.619,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,4832.3764,FDK03,12.6,Regular,0.074221559,Dairy,255.9356,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,1491.392,FDI58,7.64,Regular,0.070704474,Snack Foods,93.412,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1491.392,NCT42,5.88,Low Fat,0.024926013,Household,149.9392,OUT049,1999,Medium,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1491.392,DRH03,17.25,Low Fat,0.035207155,Dairy,93.512,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,1491.392,FDE53,10.895,Low Fat,0.026880159,Frozen Foods,106.428,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1491.392,FDA20,6.78,Low Fat,0.066724663,Fruits and Vegetables,187.724,OUT049,1999,Medium,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1491.392,FDZ36,6.035,Regular,0.065729039,Baking Goods,188.324,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,312.2602,FDE51,5.925,Regular,0.09644909,Dairy,43.8086,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,818.934,FDK14,6.98,Low Fat,0.041098016,Canned,81.6934,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1649.8524,FDS49,9,Low Fat,0,Canned,79.7644,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2195.8084,NCS30,5.945,Low Fat,0.093008616,Household,127.8652,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2563.33,FDY38,13.6,Regular,0.119361718,Dairy,231.63,OUT049,1999,Medium,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,3579.3408,FDA27,20.35,Regular,0.030927632,Dairy,256.8672,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,3579.3408,DRP35,18.85,Low Fat,0.09079168,Hard Drinks,127.1336,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,3579.3408,FDM08,10.1,Regular,0,Fruits and Vegetables,225.1088,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,3579.3408,FDG38,8.975,Regular,0.05268526,Canned,83.3224,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,4656.6052,FDE45,12.1,Low Fat,0.040323731,Fruits and Vegetables,180.0002,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,667.1316,FDC26,10.195,Low Fat,0.126383094,Canned,112.1886,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2111.9176,FDU59,5.78,Low Fat,0.096306016,Breads,161.9552,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,3735.138,FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1228.401,DRC27,13.8,Low Fat,0.058339153,Dairy,246.2802,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,1228.401,NCH18,9.3,Low Fat,0.044652785,Household,247.0802,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1228.401,FDF24,15.5,Regular,0.02536567,Baking Goods,82.7934,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2940.1728,FDO39,6.985,Regular,0.13725257,Meat,183.7608,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2940.1728,NCO53,16.2,Low Fat,0.175898114,Health and Hygiene,183.7608,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,2940.1728,FDQ45,9.5,Regular,0.010907967,Snack Foods,182.3608,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,3225.801,NCN19,13.1,Low Fat,0.01209726,Others,188.853,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,4332.3606,DRJ13,12.65,Low Fat,0.062878412,Soft Drinks,160.9578,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,6189.2768,FDQ07,15.1,Regular,0.087542757,Fruits and Vegetables,219.8456,OUT049,1999,Medium,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,446.7518,DRK49,14.15,Low Fat,0.035943717,Soft Drinks,40.5138,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,446.7518,FDM60,10.8,Regular,0.048339408,Baking Goods,41.5138,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,1267.6832,FDI28,14.3,Low Fat,0.026362624,Frozen Foods,78.3302,OUT049,1999,Medium,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1267.6832,FDH04,6.115,Regular,0.011372972,Frozen Foods,89.6488,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1267.6832,FDY20,12.5,Regular,0.08175276,Fruits and Vegetables,89.0488,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1267.6832,FDH21,10.395,Low Fat,0.031273559,Seafood,160.0604,OUT049,1999,Medium,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1404.838,FDS32,17.75,Regular,0.029700018,Fruits and Vegetables,140.3838,OUT049,1999,Medium,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1404.838,FDH14,17.1,Regular,0.046808553,Canned,141.4838,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1404.838,NCC42,15,Low Fat,0.044908404,Health and Hygiene,140.2838,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2548.6824,NCX05,15.2,Low Fat,0.09698132,Health and Hygiene,116.3492,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,4660.6,FDX49,4.615,Regular,0.101747034,Canned,231.33,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,527.3136,FDH33,12.85,Low Fat,0.121725411,Snack Foods,45.1428,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,527.3136,FDX38,10.5,Regular,0.048403392,Dairy,48.2376,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,527.3136,FDA40,16,Regular,0.09942555,Frozen Foods,87.0856,OUT049,1999,Medium,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,527.3136,FDX04,19.6,Regular,0.041536962,Frozen Foods,46.0376,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,527.3136,FDB15,10.895,Low Fat,0.136810742,Dairy,263.0568,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,527.3136,FDA01,15,Regular,0.054378253,Canned,59.1904,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2799.689,FDH32,12.8,Low Fat,0.075996742,Fruits and Vegetables,97.141,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2799.689,FDZ21,17.6,Regular,0.03928284,Snack Foods,94.641,OUT049,1999,Medium,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,4275.7676,FDW52,14,Regular,0.037580877,Frozen Foods,162.6526,OUT049,1999,Medium,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,199.74,FDN49,17.25,Regular,0.125734578,Breakfast,41.748,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,199.74,FDP13,8.1,Regular,0.134870732,Canned,41.948,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,199.74,FDZ13,7.84,Regular,0.154120252,Canned,51.935,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,1693.7952,NCX54,9.195,Low Fat,0.048050783,Household,105.6622,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1693.7952,FDW58,20.75,Low Fat,0.007546808,Snack Foods,104.1622,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1693.7952,FDW58,20.75,Low Fat,0.007551665,Snack Foods,107.1622,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1693.7952,FDI14,14.1,Low Fat,0.089677773,Canned,139.8496,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2087.9488,FDP28,13.65,Regular,0.08062523,Frozen Foods,259.6936,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2087.9488,DRH36,16.2,Low Fat,0,Soft Drinks,73.4696,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2087.9488,FDO40,17.1,Low Fat,0.032761024,Frozen Foods,148.8392,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,2818.3314,FDE38,6.52,Low Fat,0.044607161,Canned,164.2842,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,551.2824,FDT03,21.25,Low Fat,0.009998763,Meat,182.3608,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1188.453,NCY29,13.65,Low Fat,0.077234113,Health and Hygiene,56.893,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1188.453,FDD17,7.5,Low Fat,0,Frozen Foods,237.7906,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1188.453,NCJ30,5.82,Low Fat,0.08062523,Household,168.379,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1574.617,FDS57,15.5,Low Fat,0.103356186,Snack Foods,142.847,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1982.0866,NCJ05,18.7,Low Fat,0.046079558,Health and Hygiene,151.5682,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2237.088,FDS43,11.65,Low Fat,0.040507228,Fruits and Vegetables,186.924,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2237.088,FDG53,10,Low Fat,0.045848263,Frozen Foods,138.518,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2237.088,DRG25,10.5,Low Fat,0.019046089,Soft Drinks,188.424,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2766.399,FDH50,15,Regular,0.16143544,Canned,185.1266,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,5812.434,FDZ16,16.85,Regular,0.159722816,Frozen Foods,194.1478,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1315.6208,FDS52,8.89,Low Fat,0.00547348,Frozen Foods,100.5016,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1315.6208,DRH37,17.6,Low Fat,0.041681059,Soft Drinks,164.2526,OUT049,1999,Medium,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1315.6208,FDA08,11.85,Regular,0.050085152,Fruits and Vegetables,164.7526,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1869.5664,FDG58,10.695,Regular,0,Snack Foods,156.1972,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1869.5664,FDC34,16,Regular,0.172615327,Snack Foods,154.5972,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1869.5664,NCE42,21.1,Low Fat,0.010600287,Household,233.9958,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1869.5664,FDL14,8.115,Regular,0.032152786,Canned,157.3972,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1869.5664,DRI47,14.7,Low Fat,0.020916223,Hard Drinks,141.8128,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1869.5664,FDP59,20.85,Regular,0.056695731,Breads,104.0648,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,1869.5664,FDH27,7.075,Low Fat,0.05858462,Dairy,142.7128,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,3427.5384,FDG58,10.695,Regular,0.086764795,Snack Foods,156.7972,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,3427.5384,NCC31,8.02,Low Fat,0.019901356,Household,157.5972,OUT049,1999,Medium,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,3709.8376,FDS13,6.465,Low Fat,0.124506117,Canned,264.7884,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,3709.8376,FDI15,13.8,Low Fat,0,Dairy,263.7884,OUT049,1999,Medium,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,5895.659,NCQ54,17.7,Low Fat,0.012540003,Household,167.0474,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,913.4776,FDR44,6.11,Regular,0.103340142,Fruits and Vegetables,131.2968,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,1322.2788,FDY51,12.5,Low Fat,0.081119484,Meat,220.0798,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,4037.4112,FDO20,12.85,Regular,0.152747503,Fruits and Vegetables,252.0382,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,990.7104,FDY49,17.2,Regular,0.012002075,Canned,165.3184,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,990.7104,FDW11,12.6,Low Fat,0.048741487,Breads,60.4194,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,990.7104,FDB05,5.155,Low Fat,0.083198341,Frozen Foods,246.0776,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2082.6224,FDA07,7.55,Regular,0.030938774,Fruits and Vegetables,121.0072,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2082.6224,FDL22,16.85,Low Fat,0.036390174,Snack Foods,91.4488,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2817.6656,FDZ58,17.85,Low Fat,0.052389407,Snack Foods,120.9072,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,2817.6656,FDZ58,17.85,Low Fat,0.052166995,Snack Foods,121.7072,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2885.5772,NCM29,11.5,Low Fat,0.017638893,Health and Hygiene,132.7626,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2885.5772,NCM29,11.5,Low Fat,0.017642229,Health and Hygiene,131.8626,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,2885.5772,FDG47,12.8,Low Fat,0.069560905,Starchy Foods,263.0252,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,4287.752,NCR50,20.2,Low Fat,0.01181025,Household,154.634,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,4287.752,FDZ03,13.65,Regular,0,Dairy,186.024,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,4287.752,FDA35,14.85,Regular,0.053837561,Baking Goods,120.8072,OUT046,1997,Small,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,4287.752,FDQ58,7.315,Low Fat,0.015364173,Snack Foods,154.334,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,4287.752,FDK26,5.46,Regular,0.03217132,Canned,184.824,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,619.8598,FDS24,20.85,Regular,0.062172698,Baking Goods,90.2514,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2709.1402,NCI42,18.75,Low Fat,0.01035692,Household,208.3954,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,3083.9856,FDQ11,5.695,Regular,0.06797671,Breads,257.4988,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,3083.9856,NCW17,18,Low Fat,0.019386234,Health and Hygiene,126.8994,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,3563.3616,FDS55,7.02,Low Fat,0.08114883,Fruits and Vegetables,146.8734,OUT035,2004,Small,Tier 2,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,3563.3616,FDS55,7.02,Low Fat,0.081096635,Fruits and Vegetables,148.4734,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,3563.3616,FDK38,6.65,Low Fat,0.053506996,Canned,150.0734,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,3563.3616,FDE08,18.2,Low Fat,0.049396364,Fruits and Vegetables,146.4734,OUT049,1999,Medium,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,3900.9222,NCF30,17,Low Fat,0.126244059,Household,124.6362,OUT046,1997,Small,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1326.2736,NCT06,17.1,Low Fat,0,Household,167.0842,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,2591.2936,FDA36,5.985,Low Fat,0.005661669,Baking Goods,186.5924,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,373.5138,FDU21,11.8,Regular,0.076839735,Snack Foods,34.9558,OUT049,1999,Medium,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,373.5138,FDX59,10.195,Low Fat,0.051618281,Breads,31.9558,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,373.5138,FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,432.77,NCL05,19.6,Low Fat,0.048092778,Health and Hygiene,44.477,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,930.1226,FDE41,9.195,Regular,0.064002068,Frozen Foods,85.5566,OUT035,2004,Small,Tier 2,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,1146.5076,FDF24,15.5,Regular,0.025473816,Baking Goods,83.1934,OUT018,2009,Medium,Tier 3,Supermarket Type2
Duplicate,Store_Train_Forecast_Class.csv,1146.5076,FDR52,12.65,Regular,0.076354362,Frozen Foods,192.1846,OUT018,2009,Medium,Tier 3,Supermarket Type2
Unique,Store_Train_Forecast_Class.csv,1436.7964,FDE09,8.775,Low Fat,0,Fruits and Vegetables,111.3228,OUT049,1999,Medium,Tier 1,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,1436.7964,NCO54,19.5,Low Fat,0.014296484,Household,53.7614,OUT049,1999,Medium,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,331.5684,NCO54,19.5,Low Fat,0.014262413,Household,57.1614,OUT013,1987,High,Tier 3,Supermarket Type1
Duplicate,Store_Train_Forecast_Class.csv,331.5684,DRH11,5.98,Low Fat,0.075675438,Hard Drinks,53.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,6183.9504,FDD44,8.05,Regular,0.078522357,Fruits and Vegetables,257.1646,OUT049,1999,Medium,Tier 1,Supermarket Type1
Unique,Store_Train_Forecast_Class.csv,2258.3936,FDL34,16,Low Fat,0.040945898,Snack Foods,143.1496,OUT046,1997,Small,Tier 1,Supermarket Type1
